"record_id","PlotID","SpCode","diameter"
1057,"BSP25","Acacsinu",17.5070437401085
1062,"BSP25","Acacsinu",22.9183118052329
1067,"BSP27","Acacsinu",3.81971863420549
1072,"BSP3","Acacsinu",5.72957795130823
1077,"BSP3","Acacsinu",6.36619772367581
1082,"BSP3","Acacsinu",14.9605646506382
1087,"BSP4","Acacsinu",9.54929658551372
1092,"BSP45","Acacsinu",10.5042262440651
1097,"BSP54","Acacsinu",8.91267681314614
1102,"BSP56","Acacsinu",4.13802852038928
1107,"BSP56","Acacsinu",4.77464829275686
1112,"BSP56","Acacsinu",5.72957795130823
1117,"BSP57","Acacsinu",8.59436692696235
1122,"BSP58","Acacsinu",3.81971863420549
1127,"BSP58","Acacsinu",7.95774715459477
1132,"BSP58","Acacsinu",12.7323954473516
1137,"BSP62","Acacsinu",10.5042262440651
1138,"BSP62","Acacsinu",10.1859163578813
1142,"BSP62","Acacsinu",11.1408460164327
1143,"BSP62","Acacsinu",8.59436692696235
1147,"BSP63","Acacsinu",4.13802852038928
1152,"BSP63","Acacsinu",6.6845076098596
1157,"BSP63","Acacsinu",7.63943726841098
1162,"BSP63","Acacsinu",17.8253536262923
1167,"BSP70","Acacsinu",7.0028174960434
1172,"BSP8","Acacsinu",13.3690152197192
1177,"BSP86","Acacsinu",14.6422547644544
1178,"BSP86","Acacsinu",13.0507053335354
1182,"BSP96","Acacsinu",16.5521140815571
1187,"BSP97","Acacsinu",7.0028174960434
1192,"BSP97","Acacsinu",20.6901426019464
1197,"BSP101","Acrofrax",66.845076098596
1202,"BSP101","Acrofrax",79.5774715459477
1207,"BSP59","Acrofrax",11.4591559026165
1208,"BSP59","Acrofrax",11.1408460164327
1212,"BSP73","Acrofrax",64.2985970091257
1217,"BSP10","Actiangu",3.18309886183791
1222,"BSP10","Actiangu",3.18309886183791
1227,"BSP10","Actiangu",3.5014087480217
1228,"BSP10","Actiangu",3.18309886183791
1232,"BSP10","Actiangu",3.5014087480217
1237,"BSP10","Actiangu",3.5014087480217
1242,"BSP10","Actiangu",3.5014087480217
1247,"BSP10","Actiangu",3.81971863420549
1252,"BSP10","Actiangu",3.81971863420549
1257,"BSP10","Actiangu",4.13802852038928
1262,"BSP10","Actiangu",4.13802852038928
1267,"BSP10","Actiangu",4.77464829275686
1272,"BSP10","Actiangu",5.72957795130823
1277,"BSP10","Actiangu",6.6845076098596
1282,"BSP10","Actiangu",10.1859163578813
1287,"BSP10","Actiangu",39.1521160006063
1292,"BSP10","Actiangu",40.1070456591576
1297,"BSP101","Actiangu",7.95774715459477
1302,"BSP104","Actiangu",6.36619772367581
1307,"BSP12","Actiangu",5.09295817894065
1312,"BSP12","Actiangu",5.41126806512444
1317,"BSP12","Actiangu",5.72957795130823
1322,"BSP12","Actiangu",7.95774715459477
1327,"BSP12","Actiangu",31.8309886183791
1332,"BSP29","Actiangu",12.4140855611678
1337,"BSP30","Actiangu",7.63943726841098
1342,"BSP30","Actiangu",14.9605646506382
1347,"BSP30","Actiangu",19.0985931710274
1352,"BSP30","Actiangu",21.6450722604978
1357,"BSP30","Actiangu",22.2816920328653
1362,"BSP30","Actiangu",22.9183118052329
1367,"BSP30","Actiangu",23.5549315776005
1372,"BSP30","Actiangu",25.4647908947033
1377,"BSP31","Actiangu",3.18309886183791
1382,"BSP31","Actiangu",3.5014087480217
1387,"BSP31","Actiangu",3.5014087480217
1392,"BSP31","Actiangu",5.09295817894065
1397,"BSP31","Actiangu",13.3690152197192
1402,"BSP31","Actiangu",15.5971844230057
1407,"BSP31","Actiangu",16.8704239677409
1412,"BSP31","Actiangu",17.1887338539247
1417,"BSP36","Actiangu",3.81971863420549
1422,"BSP36","Actiangu",6.36619772367581
1427,"BSP36","Actiangu",48.70141258612
1432,"BSP37","Actiangu",3.5014087480217
1437,"BSP37","Actiangu",3.81971863420549
1442,"BSP37","Actiangu",3.81971863420549
1447,"BSP37","Actiangu",4.13802852038928
1452,"BSP37","Actiangu",4.45633840657307
1457,"BSP37","Actiangu",4.45633840657307
1462,"BSP37","Actiangu",5.09295817894065
1467,"BSP37","Actiangu",5.41126806512444
1472,"BSP37","Actiangu",5.72957795130823
1477,"BSP37","Actiangu",5.72957795130823
1482,"BSP37","Actiangu",6.04788783749202
1487,"BSP37","Actiangu",6.36619772367581
1492,"BSP37","Actiangu",6.36619772367581
1497,"BSP37","Actiangu",7.0028174960434
1502,"BSP37","Actiangu",7.0028174960434
1507,"BSP37","Actiangu",7.0028174960434
1512,"BSP37","Actiangu",7.32112738222719
1517,"BSP37","Actiangu",9.23098669932993
1522,"BSP37","Actiangu",12.095775674984
1527,"BSP41","Actiangu",4.13802852038928
1532,"BSP41","Actiangu",4.77464829275686
1537,"BSP42","Actiangu",3.18309886183791
1542,"BSP42","Actiangu",5.72957795130823
1547,"BSP42","Actiangu",9.54929658551372
1552,"BSP43","Actiangu",24.8281711223357
1557,"BSP5","Actiangu",7.0028174960434
1562,"BSP57","Actiangu",55.3859201959796
1567,"BSP58","Actiangu",52.5211312203255
1572,"BSP59","Actiangu",4.77464829275686
1577,"BSP59","Actiangu",4.77464829275686
1582,"BSP59","Actiangu",6.36619772367581
1587,"BSP59","Actiangu",6.36619772367581
1592,"BSP59","Actiangu",7.95774715459477
1597,"BSP59","Actiangu",11.1408460164327
1602,"BSP59","Actiangu",12.7323954473516
1607,"BSP59","Actiangu",15.278874536822
1612,"BSP59","Actiangu",22.6000019190491
1617,"BSP59","Actiangu",22.9183118052329
