SURVEY,YEAR,SITE,TREATMENT,BLOCK,PLOT,SPECIES,ORIGINAL_TAG,NEW_TAG,DEAD,HEIGHT,AXIS_1,AXIS_2,CIRC,MEASUREMENT,STEMS
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,28,NA,N,3.75,6.3,5.2,NA,NA,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,28,NA,N,4.01,9.2,7.1,NA,NA,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,29,NA,N,4.6,7.6,7.9,24.9,D,6
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,29,NA,N,4.95,7.55,6.64,26.2,D,5
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,29,NA,N,5.1,6.7,9,32,C,7
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,29,NA,N,4.3,9.1,8.6,NA,NA,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,29,NA,N,4.4,10.1,10.2,NA,NA,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,30,NA,N,2.3,4,3.9,14.1,D,2
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,30,NA,N,2.5,2.7,3.3,17.4,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,30,NA,N,2.78,3.1,4.4,20,C,2
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,30,NA,N,3,2.5,5.1,25,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,30,NA,N,3.2,5.3,6.4,18,D,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,41,NA,N,2.4,1.5,0.9,5.6,D,2
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,41,NA,N,2.64,2.2,1.85,8.1,D,2
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,41,NA,N,3.3,1.9,1.4,11,C,4
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,41,NA,N,3.9,3.1,2.9,11,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,41,NA,N,3.75,3,2.7,7.5,D,3
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,42,NA,N,1.4,1,1.1,3.7,D,6
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,42,NA,N,1.69,2.15,1.6,5.7,D,3
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,42,NA,N,2.34,1.7,2.55,8,C,15
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,42,NA,N,2.7,2.3,2.2,6,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,42,NA,N,2.79,3.1,3.4,4,D,4
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,43,NA,N,1.1,1.3,1.2,3.4,D,7
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,43,NA,N,1.74,1.85,1.8,12.1,D,2
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,43,NA,N,2,2.4,2.2,14,C,5
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,43,NA,N,2.1,3.4,3.2,6,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,43,NA,N,1.94,1.5,2.1,6,D,5
