"code_vernacular","vernacular_name","scientific_name"
322,"Toko","Blighia welwitschii (Hiern) Radlk."
314,"Sombo","Irvingia grandifolia (Engl.) Engl."
155,"Katabounga","Mallotus oppositifolius (Geiseler) Müll.Arg."
16,"Cépa","Triplochiton scleroxylon K.Schum."
251,"Mopendendé","Ophiobotrys zenkeri Gilg"
157,"Kayandima PF.","Dracaena arborea (Willd.) Link"
165,"Koungou","Vitex grandifolia Gürke"
237,"Monghinza","Manilkara mabokeensis Aubrév."
141,"Gbadani","Garcinia polyantha Oliv."
550,"Moloka","Vepris louisii G.C.C.Gilbert"
254,"Mopoko","Cola lateritia K.Schum."
228,"Mokassé","Drypetes afzelii (Pax) Hutch."
6,"Déké","Khaya anthotheca (Welw.) C.DC."
684,"Molongbété","Manilkara letouzeyi Aubrév."
206,"Mboko","Lannea welwitschii (Hiern) Engl."
240,"Mongondo","Oldfieldia africana Benth. & Hook.f."
235,"Mondemboméko","Dichostemma glaucescens Pierre"
246,"Monzembé","Angylocalyx pynaertii De Wild."
153,"Kangayéyé","Tetrapleura tetraptera (Schumach. & Thonn.) Taub."
283,"Ngbata","Cola chlamydantha K.Schum."
101,"Bango","Diospyros iturensis (Gürke) Letouzey & F.White"
291,"Nianga","Drypetes chevalieri Beille ex Hutch. & Dalziel"
15,"Bombolo-bombolo","Guarea cedrata (A.Chev.) Pellegr."
544,"Mologombo","Barteria fistulosa Mast."
307,"Poussa","Treculia africana Decne."
108,"Bolosséké","Grewia oligoneura Sprague"
270,"Nanga","Beilschmiedia congolana Robyns & R.Wilczek"
259,"Mossanza GF.","Rinorea oblongifolia (C.H.Wright) Marquand ex Chipp"
201,"Manzenzé","Donella pruniformis (Pierre ex Engl.) Aubrév. & Pellegr."
24,"Mogouga","Alstonia boonei De Wild."
28,"Molopongoli","Nesogordonia papaverifera (A.Chev.) Capuron ex N.Hallé"
152,"Kakama","Duboscia macrocarpa Bocq."
212,"Mobai","Anonidium mannii (Oliv.) Engl. & Diels"
263,"Mossossoli","Fernandoa Welw. ex Seem."
315,"Songondima","Euphorbia beillei A.Chev."
7,"Mboyokondi","Lovoa trichilioides Harms"
11,"Bouanga","Autranella congolensis (De Wild.) A.Chev."
207,"Mbombassé","Sapium ellipticum (Hochst.) Pax"
301,"Payo","Irvingia excelsa Mildbr."
229,"Mokengo","Santiria trimera (Oliv.) Aubrév."
